url,is_ai,note,title,author
https://www.douyin.com/video/6953407957354827039,,,#兵马俑 讲述秦的故事，东方帝王谷：江山美人第三集<记得关注看后续哦>  #历史  。正在直播中点击头像观看哦,秦始皇帝陵博物院
https://www.douyin.com/video/6953408155413974308,,,#兵马俑 讲述秦的故事，东方帝王谷：江山美人第四集<记得关注看后续哦>  #历史  。正在直播中点击头像观看哦,秦始皇帝陵博物院
https://www.douyin.com/video/6958984510255959309,,,#兵马俑 讲述秦的故事，东方帝王谷：江山美人第六集<记得关注看后续哦>  #历史  。正在直播中点击头像观看哦,秦始皇帝陵博物院
https://www.douyin.com/video/6958985822997613861,,,#兵马俑 讲述秦的故事，东方帝王谷：江山美人第七集<记得关注看后续哦>  #历史  。正在直播中点击头像观看哦,秦始皇帝陵博物院
https://www.douyin.com/video/6961953804883430687,,,#兵马俑 讲述秦的故事，东方帝王谷：江山美人第八集<记得关注看后续哦>  #历史  。正在直播中点击头像观看哦,秦始皇帝陵博物院
https://www.douyin.com/video/6961954007791226125,,,#兵马俑 讲述秦的故事，东方帝王谷：江山美人第九集<记得关注看后续哦>  #历史  。记得点赞加关注哦！,秦始皇帝陵博物院
https://www.douyin.com/video/6963514979353955592,,,5.18#国际博物馆日日，#秦陵博物院铜车马博物馆试开放！欢迎大家参观！,秦始皇帝陵博物院
https://www.douyin.com/video/6963839456919031071,,,#兵马俑 讲述秦的故事，东方帝王谷：江山美人第十集<记得关注看后续哦>  #历史  。记得点赞加关注哦！,秦始皇帝陵博物院
https://www.douyin.com/video/6963955587893742856,,,#兵马俑雪糕 想不想吃呀。给你的这个夏天#热爱105度的你 带来丝丝凉意哟！,秦始皇帝陵博物院
https://www.douyin.com/video/6966761251309407519,,,#兵马俑 讲述秦的故事，东方帝王谷：江山美人第十一集<记得关注看后续哦>  #历史  。#国学,秦始皇帝陵博物院
https://www.douyin.com/video/6968340832512478472,,,#兵马俑 讲述秦的故事，东方帝王谷：江山美人第十四集<记得关注看后续哦>  #历史。#传统文化,秦始皇帝陵博物院
https://www.douyin.com/video/6968987250839342367,,,#兵马俑 讲述秦的故事，东方帝王谷：江山美人第十四集<记得关注看后续哦>  #历史。#传统文化 正在直播哦！,秦始皇帝陵博物院
https://www.douyin.com/video/6969025190621629726,,,世人皆知兵马俑，而在其出土的背后，更有着无数人的努力，让我们走进院史馆，回溯过往历史，见证#秦文化出土这一奇迹,秦始皇帝陵博物院
